0	0	0	;
1e-11	-1.60494e-62	1.0441e-62	;
2e-11	-3.98187e-60	2.58957e-60	;
3e-11	-4.90732e-58	3.19034e-58	;
4e-11	-4.00533e-56	2.60302e-56	;
5e-11	-2.43551e-54	1.58223e-54	;
6e-11	-1.17678e-52	7.64208e-53	;
7e-11	-4.70598e-51	3.05489e-51	;
8e-11	-1.60197e-49	1.03949e-49	;
9e-11	-4.73834e-48	3.07334e-48	;
1e-10	-1.237e-46	8.01981e-47	;
1.1e-10	-2.88565e-45	1.86999e-45	;
1.2e-10	-6.0754e-44	3.93519e-44	;
1.3e-10	-1.16393e-42	7.53538e-43	;
1.4e-10	-2.04309e-41	1.32204e-41	;
1.5e-10	-3.30516e-40	2.13756e-40	;
1.6e-10	-4.95245e-39	3.20115e-39	;
1.7e-10	-6.90338e-38	4.45964e-38	;
1.8e-10	-8.98612e-37	5.80164e-37	;
1.9e-10	-1.096e-35	7.07164e-36	;
2e-10	-1.25624e-34	8.10029e-35	;
2.1e-10	-1.35678e-33	8.74274e-34	;
2.2e-10	-1.38409e-32	8.91245e-33	;
2.3e-10	-1.33649e-31	8.59967e-32	;
2.4e-10	-1.22394e-30	7.86947e-31	;
2.5e-10	-1.06491e-29	6.84153e-30	;
2.6e-10	-8.81703e-29	5.6598e-29	;
2.7e-10	-6.95701e-28	4.46195e-28	;
2.8e-10	-5.23836e-27	3.35663e-27	;
2.9e-10	-3.76854e-26	2.41251e-26	;
3e-10	-2.59325e-25	1.65847e-25	;
3.1e-10	-1.70866e-24	1.09161e-24	;
3.2e-10	-1.079e-23	6.88587e-24	;
3.3e-10	-6.53607e-23	4.16637e-23	;
3.4e-10	-3.80094e-22	2.41997e-22	;
3.5e-10	-2.12355e-21	1.35031e-21	;
3.6e-10	-1.14058e-20	7.24304e-21	;
3.7e-10	-5.89314e-20	3.7371e-20	;
3.8e-10	-2.93069e-19	1.85575e-19	;
3.9e-10	-1.40353e-18	8.8735e-19	;
4e-10	-6.47589e-18	4.08754e-18	;
4.1e-10	-2.87997e-17	1.81468e-17	;
4.2e-10	-1.23496e-16	7.76725e-17	;
4.3e-10	-5.10781e-16	3.20633e-16	;
4.4e-10	-2.03828e-15	1.27686e-15	;
4.5e-10	-7.84964e-15	4.90663e-15	;
4.6e-10	-2.91799e-14	1.81975e-14	;
4.7e-10	-1.04724e-13	6.51482e-14	;
4.8e-10	-3.62901e-13	2.25169e-13	;
4.9e-10	-1.21438e-12	7.51388e-13	;
5e-10	-3.92442e-12	2.42098e-12	;
5.1e-10	-1.22476e-11	7.53163e-12	;
5.2e-10	-3.69124e-11	2.26225e-11	;
5.3e-10	-1.07426e-10	6.56009e-11	;
5.4e-10	-3.01868e-10	1.8363e-10	;
5.5e-10	-8.18883e-10	4.96097e-10	;
5.6e-10	-2.14406e-09	1.29327e-09	;
5.7e-10	-5.41686e-09	3.25233e-09	;
5.8e-10	-1.32015e-08	7.88783e-09	;
5.9e-10	-3.10241e-08	1.8443e-08	;
6e-10	-7.02742e-08	4.15585e-08	;
6.1e-10	-1.53356e-07	9.02152e-08	;
6.2e-10	-3.22242e-07	1.88598e-07	;
6.3e-10	-6.51595e-07	3.7958e-07	;
6.4e-10	-1.2671e-06	7.35375e-07	;
6.5e-10	-2.36807e-06	1.3715e-06	;
6.6e-10	-4.25052e-06	2.46371e-06	;
6.7e-10	-7.32333e-06	4.2681e-06	;
6.8e-10	-1.21067e-05	7.14744e-06	;
6.9e-10	-1.92043e-05	1.16163e-05	;
7e-10	-2.92502e-05	1.84359e-05	;
7.1e-10	-4.2858e-05	2.88207e-05	;
7.2e-10	-6.06381e-05	4.48562e-05	;
7.3e-10	-8.3388e-05	7.02627e-05	;
7.4e-10	-0.000112577	0.000111636	;
7.5e-10	-0.00015119	0.000180227	;
7.6e-10	-0.000204856	0.000294138	;
7.7e-10	-0.000282893	0.000480554	;
7.8e-10	-0.000398674	0.000777291	;
7.9e-10	-0.000568502	0.00123273	;
8e-10	-0.000808354	0.0019033	;
8.1e-10	-0.00112848	0.0028481	;
8.2e-10	-0.00152681	0.00412121	;
8.3e-10	-0.0019831	0.00576328	;
8.4e-10	-0.00245652	0.00779471	;
8.5e-10	-0.00288854	0.0102128	;
8.6e-10	-0.00321175	0.0129936	;
8.7e-10	-0.00336274	0.0160989	;
8.8e-10	-0.00329503	0.0194842	;
8.9e-10	-0.00298766	0.0231051	;
9e-10	-0.00244591	0.02692	;
9.1e-10	-0.00169397	0.0308881	;
9.2e-10	-0.000762443	0.0349672	;
9.3e-10	0.000323706	0.0391146	;
9.4e-10	0.00155135	0.0432964	;
9.5e-10	0.00291722	0.0475013	;
9.6e-10	0.00442039	0.0517529	;
9.7e-10	0.00605597	0.0561096	;
9.8e-10	0.0078171	0.0606458	;
9.9e-10	0.00970605	0.0654208	;
1e-09	0.0117466	0.070452	;
1.01e-09	0.0139841	0.0757101	;
1.02e-09	0.0164644	0.0811422	;
1.03e-09	0.0191988	0.0867063	;
1.04e-09	0.0221366	0.0923872	;
1.05e-09	0.0251665	0.0981769	;
1.06e-09	0.0281531	0.10403	;
1.07e-09	0.0309857	0.109839	;
1.08e-09	0.0336082	0.115456	;
1.09e-09	0.0360126	0.120764	;
1.1e-09	0.0382102	0.125741	;
1.11e-09	0.0402071	0.130461	;
1.12e-09	0.0420038	0.135028	;
1.13e-09	0.0436097	0.139495	;
1.14e-09	0.0450509	0.143837	;
1.15e-09	0.0463613	0.148001	;
1.16e-09	0.0475692	0.151978	;
1.17e-09	0.0486967	0.155835	;
1.18e-09	0.049769	0.15967	;
1.19e-09	0.0508184	0.163544	;
1.2e-09	0.0518689	0.167439	;
1.21e-09	0.0529152	0.171296	;
1.22e-09	0.0539188	0.175063	;
1.23e-09	0.0548328	0.178726	;
1.24e-09	0.0556377	0.182301	;
1.25e-09	0.0563578	0.185812	;
1.26e-09	0.0570468	0.189288	;
1.27e-09	0.057754	0.192758	;
1.28e-09	0.0584961	0.196248	;
1.29e-09	0.0592497	0.199751	;
1.3e-09	0.0599682	0.203226	;
1.31e-09	0.0606121	0.206626	;
1.32e-09	0.0611782	0.209938	;
1.33e-09	0.0617067	0.2132	;
1.34e-09	0.0622543	0.216472	;
1.35e-09	0.0628475	0.219784	;
1.36e-09	0.0634575	0.223117	;
1.37e-09	0.0640266	0.226413	;
1.38e-09	0.0645239	0.22963	;
1.39e-09	0.0649738	0.232775	;
1.4e-09	0.0654285	0.235909	;
1.41e-09	0.0659158	0.239083	;
1.42e-09	0.0664196	0.242292	;
1.43e-09	0.0669042	0.245473	;
